TransactionID,UserID,CourseID,TeacherID,UserName,Age_x,Gender_x,Email,CourseName,CourseCategory,CourseLevel,CourseRating,TeacherName,Age_y,Gender_y,Expertise,YearsOfExperience,TeacherRating
TR00001,U02668,C0029,T0086,angelarodriguez,26,Male,mercadolarry@yahoo.com,Course_29,Programming,Intermediate,3.92,Teacher_86,36,Female,Programming,13,3.37
TR00002,U02236,C0003,T0077,ule,24,Female,brownlacey@gmail.com,Course_3,Design,Intermediate,3.61,Teacher_77,32,Male,Business,26,3.62
TR00003,U01122,C0090,T0007,kathrynsutton,29,Female,medwards@yahoo.com,Course_90,Data Science,Beginner,4.31,Teacher_7,35,Female,Data Science,20,4.1
TR00004,U00131,C0104,T0008,chelsea48,19,Male,stephaniedougherty@gmail.com,Course_104,Marketing,Intermediate,4.88,Teacher_8,35,Female,Programming,1,2.6
TR00005,U02853,C0123,T0028,williamflores,25,Male,donna26@gmail.com,Course_123,Business,Beginner,4.01,Teacher_28,45,Male,Programming,26,3.72
TR00006,U01195,C0186,T0045,cmurray,23,Male,ehayes@outlook.com,Course_186,Programming,Intermediate,3.17,Teacher_45,26,Male,Data Science,5,3.33
TR00007,U02984,C0076,T0107,coleandrew,35,Female,carlos93@gmail.com,Course_76,Data Science,Advanced,4.64,Teacher_107,50,Male,Data Science,5,3.17
TR00008,U00183,C0130,T0073,christopherhall,33,Male,virginia17@outlook.com,Course_130,Marketing,Beginner,3.15,Teacher_73,32,Female,Design,9,3.05
TR00009,U00364,C0108,T0089,cynthiamiller,34,Male,brenda08@outlook.com,Course_108,Programming,Beginner,3.95,Teacher_89,47,Female,Programming,16,3.79
TR00010,U00039,C0156,T0120,blackdanielle,16,Female,michaelfrederick@yahoo.com,Course_156,Programming,Intermediate,4.35,Teacher_120,52,Female,Marketing,4,2.98
TR00011,U02545,C0082,T0080,dianewebster,16,Female,urosales@outlook.com,Course_82,Programming,Beginner,4.36,Teacher_80,57,Female,Design,15,3.35
TR00012,U01373,C0077,T0074,wongmichelle,24,Male,lopezrachel@hotmail.com,Course_77,Design,Advanced,4.36,Teacher_74,48,Male,Marketing,12,3.3
TR00013,U00921,C0002,T0011,nharris,26,Male,joshuaduran@gmail.com,Course_2,Design,Advanced,4.94,Teacher_11,27,Female,Programming,16,3.24
TR00014,U02770,C0127,T0031,kimberlykeller,31,Male,mayomichael@outlook.com,Course_127,Business,Intermediate,4.1,Teacher_31,28,Male,Business,20,3.77
TR00015,U00016,C0135,T0012,josephmullins,32,Male,amysparks@outlook.com,Course_135,Business,Intermediate,4.83,Teacher_12,46,Female,Programming,14,3.61
TR00016,U00493,C0026,T0095,rioschristina,30,Male,patricia26@outlook.com,Course_26,Business,Advanced,4.55,Teacher_95,25,Male,Marketing,23,3.86
TR00017,U01450,C0088,T0078,crystal02,16,Female,wesleyjohnson@gmail.com,Course_88,Business,Beginner,4.58,Teacher_78,59,Male,Programming,26,3.94
TR00018,U01132,C0016,T0051,sandrabrown,27,Female,bruceevans@yahoo.com,Course_16,Marketing,Beginner,4.11,Teacher_51,58,Male,Design,15,3.89
TR00019,U02942,C0151,T0044,yolandavaldez,18,Male,ahubbard@gmail.com,Course_151,Marketing,Beginner,3.53,Teacher_44,28,Female,Marketing,12,3.22
TR00020,U00311,C0168,T0096,mandy48,18,Female,mcfarlandangela@gmail.com,Course_168,Design,Beginner,3.72,Teacher_96,59,Female,Marketing,3,2.85
TR00021,U00739,C0188,T0050,robinsonaaron,25,Female,katie36@gmail.com,Course_188,Data Science,Advanced,4.1,Teacher_50,50,Female,Programming,20,3.91
TR00022,U00546,C0073,T0117,nathanstevenson,25,Male,pfields@outlook.com,Course_73,Data Science,Advanced,3.44,Teacher_117,56,Male,Business,16,3.28
TR00023,U02462,C0032,T0017,martinezmegan,26,Male,omiller@yahoo.com,Course_32,Programming,Advanced,3.17,Teacher_17,45,Female,Data Science,28,3.97
TR00024,U00251,C0015,T0035,summersjamie,28,Female,daniel37@outlook.com,Course_15,Marketing,Advanced,4.24,Teacher_35,50,Female,Design,22,3.98
TR00025,U00759,C0141,T0001,jerryfuentes,22,Male,alec74@hotmail.com,Course_141,Marketing,Advanced,4.26,Teacher_1,53,Female,Business,28,3.86
